Neighborhood,Year,Number_of_Limited_English_Proficiency_Individuals
Greenpoint_and_Williamsburg,2010,36964
Greenpoint_and_Williamsburg,2012,30499
Greenpoint_and_Williamsburg,2013,34443
Greenpoint_and_Williamsburg,2015,34186
Greenpoint_and_Williamsburg,2014,26821
Greenpoint_and_Williamsburg,2016,35572
Greenpoint_and_Williamsburg,2017,31151
Greenpoint_and_Williamsburg,2018,26562
Greenpoint_and_Williamsburg,2019,25805
